christians,lgbt,feminists,poor,welfare,conservs,liberals,unions,business,blacks
99,0,97,85,0,70,60,60,85,50
15,50,99,97,85,15,15,30,15,70
70,97,70,97,85,60,70,85,97,30
60,60,50,60,60,60,40,70,60,97
70,70,70,97,60,50,40,70,60,70
50,70,50,60,50,50,50,40,0,97
99,50,40,85,60,70,60,85,50,85
70,70,40,85,50,60,70,85,70,15
50,97,99,97,70,50,50,60,50,97
60,50,40,50,50,50,40,50,40,60
50,97,0,97,97,0,97,85,30,70
70,97,85,70,70,50,50,97,40,60
40,50,60,60,50,50,99,50,50,40
50,60,50,85,60,50,60,70,50,60
60,85,70,97,97,85,85,85,97,10
0,85,85,50,30,15,85,60,30,85
0,85,85,85,60,40,85,85,40,85
30,50,50,50,50,50,50,50,40,50
50,85,50,70,50,40,50,50,40,85
50,60,85,60,50,50,70,70,60,60
99,99,99,99,99,99,99,99,99,99
50,85,85,85,70,70,85,60,15,70
50,70,50,70,50,70,70,40,50,10
50,60,60,97,50,40,85,50,15,85
99,99,99,99,99,99,99,99,99,99
70,60,85,85,60,50,60,60,70,60
50,85,85,97,70,60,85,85,50,85
40,50,70,50,50,60,85,70,60,70
50,40,50,40,30,85,15,60,40,50
50,50,50,97,70,50,70,50,85,85
15,50,0,85,15,85,0,0,40,30
30,97,60,70,50,15,90,35,40,95
99,60,75,70,60,40,80,55,85,87
97,0,40,70,60,70,0,97,0,85
59,70,50,97,70,85,50,97,97,97
60,30,60,60,40,85,40,40,70,50
60,60,60,70,60,60,60,60,40,60
70,50,50,70,40,70,50,60,65,85
30,97,97,90,80,30,80,75,35,97
99,99,99,99,99,99,99,99,99,99
60,70,40,85,60,60,85,70,60,98
85,30,70,85,60,85,85,97,70,97
85,30,50,85,50,70,50,85,60,85
50,50,50,85,70,85,40,30,50,50
70,50,85,70,70,30,50,50,50,85
85,70,50,85,60,70,98,70,50,85
60,97,97,97,70,70,85,85,85,97
70,70,70,80,60,80,60,70,40,97
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
85,60,60,85,60,70,60,50,50,70
70,97,97,97,97,60,60,60,70,97
40,50,60,50,50,40,60,40,40,70
30,50,50,40,30,40,60,70,70,70
30,60,70,70,70,40,60,70,70,60
60,98,40,60,50,70,30,40,85,60
15,97,85,60,50,40,85,60,50,97
50,40,50,70,50,70,60,50,40,60
50,50,50,70,50,50,50,50,85,50
40,70,85,85,60,50,50,70,40,97
99,99,99,99,99,99,99,99,99,99
15,97,85,50,50,15,85,70,15,97
40,50,50,70,30,50,50,85,70,40
98,50,50,97,60,50,50,97,50,97
50,40,85,35,50,70,50,60,50,60
99,99,99,99,99,99,99,99,99,99
60,15,50,85,60,70,85,70,70,50
40,60,50,50,50,50,60,30,40,50
40,85,85,97,85,40,85,85,0,85
70,50,85,97,15,70,70,50,60,85
70,70,98,85,60,70,70,70,98,50
99,99,99,99,99,99,99,99,99,99
50,85,85,60,40,50,50,50,30,60
50,97,97,97,97,40,85,97,15,85
98,85,50,70,60,70,60,85,40,85
50,50,40,50,50,40,40,60,40,70
60,50,95,97,97,85,50,40,0,60
50,50,40,85,40,50,50,70,50,50
99,60,70,85,70,70,70,70,0,70
85,85,85,97,15,70,50,60,60,97
85,97,85,97,97,70,85,80,85,97
50,50,99,85,35,99,50,50,70,85
15,97,99,97,60,50,30,40,50,85
99,99,99,99,99,99,99,99,99,99
50,70,97,97,97,50,85,70,50,97
60,50,99,50,50,99,99,85,85,60
40,60,40,60,50,50,50,70,70,50
40,70,70,85,70,60,70,60,60,70
50,97,50,40,40,0,70,70,60,70
50,50,30,70,15,60,40,40,30,50
99,85,70,85,70,60,70,70,15,60
70,50,50,50,50,50,50,85,50,60
50,60,40,60,60,50,60,70,40,40
99,0,0,30,0,99,60,0,97,60
99,85,50,70,50,99,70,99,60,70
15,85,85,50,60,30,70,60,30,60
97,60,99,85,40,99,99,99,60,70
50,70,70,70,70,50,70,85,50,97
60,50,50,85,50,15,60,60,15,50
50,50,50,50,30,50,50,70,70,50
60,50,60,97,85,70,60,40,50,85
99,85,70,85,75,70,70,75,70,85
60,60,30,85,60,60,60,0,15,97
60,60,50,85,70,50,70,60,50,98
50,50,85,85,30,99,99,40,98,97
50,50,50,97,40,50,50,30,50,50
60,0,15,85,15,99,15,15,15,60
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
50,0,99,85,60,70,50,50,0,50
99,99,99,99,99,99,99,99,99,99
50,97,97,85,60,40,85,97,30,70
15,85,60,50,15,0,30,50,0,85
97,50,30,50,40,85,30,15,70,50
50,50,50,70,70,85,40,30,30,60
40,50,50,60,60,40,40,50,50,50
70,40,30,60,40,60,40,30,50,70
50,97,50,97,97,50,50,70,50,97
60,80,70,97,80,50,85,75,55,95
90,50,99,65,50,98,98,90,80,50
99,99,99,99,99,99,99,99,99,99
99,50,98,97,97,0,97,20,0,85
40,50,40,70,70,60,40,30,70,85
50,30,40,40,30,50,30,85,50,50
40,85,4,50,50,50,85,50,60,50
60,70,70,70,70,60,30,70,60,97
99,99,99,99,99,99,99,99,99,99
50,60,50,97,97,50,97,50,50,97
97,50,99,97,60,15,15,30,40,50
85,50,50,97,50,50,50,40,50,97
30,60,70,70,50,50,30,15,60,99
99,85,50,85,50,60,15,0,97,85
30,50,50,90,50,30,50,40,20,50
97,15,15,60,70,50,60,85,60,97
70,40,70,70,30,50,50,85,70,50
50,97,60,85,15,50,50,97,15,50
97,50,75,97,97,40,97,97,70,97
50,85,60,60,70,50,60,50,70,85
50,50,40,50,40,50,60,40,50,50
50,50,40,50,40,40,40,70,30,60
50,50,60,85,50,50,50,50,40,97
98,98,98,98,98,75,98,99,98,0
99,99,99,99,99,99,99,99,99,99
50,97,50,97,0,25,97,50,50,97
80,75,99,80,75,0,80,98,98,80
50,50,50,97,50,50,50,70,50,50
70,50,60,97,60,60,60,85,85,97
97,97,85,97,90,85,85,90,95,97
70,97,50,97,50,70,97,60,70,70
98,50,50,50,50,50,50,50,50,50
98,70,97,70,97,50,60,85,70,80
99,50,70,50,50,40,40,40,50,97
98,98,98,98,98,98,98,98,97,75
50,50,5,50,50,50,50,50,50,50
50,97,80,97,80,75,80,75,50,97
97,97,0,50,50,50,50,50,50,60
70,60,70,97,70,50,70,50,97,97
50,50,80,50,50,50,80,75,90,85
0,50,50,97,50,50,50,50,50,70
50,0,50,50,35,60,40,50,50,70
50,97,50,50,50,13,50,80,50,85
85,85,85,70,70,60,60,60,70,40
15,85,70,70,50,40,70,40,15,85
50,0,50,40,0,97,60,15,60,50
50,75,60,50,50,60,75,50,50,6
5,0,5,97,50,10,0,20,3,99
50,60,60,50,50,30,49,50,20,50
40,60,60,50,50,60,40,40,40,50
60,0,40,50,50,30,70,97,70,97
50,40,30,97,85,97,50,70,50,85
98,85,98,98,98,98,98,60,98,85
50,30,15,50,40,60,30,0,50,50
99,99,99,99,99,99,99,99,99,99
97,85,50,85,85,70,50,50,40,85
70,60,85,70,60,85,85,40,85,85
50,0,50,70,40,60,50,30,30,50
99,99,99,99,99,99,99,99,99,99
85,60,30,70,60,85,40,85,70,70
60,60,70,85,40,50,60,50,70,85
85,50,30,50,50,85,30,15,70,97
50,60,30,60,50,50,30,40,85,3
40,40,50,60,40,60,30,15,70,50
50,50,50,60,40,40,85,60,70,50
70,40,50,97,15,60,15,60,85,30
60,85,97,97,70,85,50,70,70,97
99,99,99,99,99,99,99,99,99,99
70,0,50,97,50,50,50,50,60,60
50,97,50,97,50,50,50,50,50,0
50,40,40,50,40,50,60,50,40,99
60,85,50,60,60,50,50,0,85,60
50,50,50,97,50,50,50,50,50,97
97,50,60,97,60,60,60,50,60,85
85,40,60,60,40,50,50,50,70,97
97,85,50,97,97,50,50,60,50,97
97,0,98,97,97,98,98,97,97,97
85,97,97,97,70,85,60,97,60,97
70,50,60,70,50,60,50,70,60,50
97,0,60,97,70,70,60,97,97,85
15,97,85,50,60,30,70,50,30,50
85,97,85,70,30,85,40,40,40,30
40,70,70,70,70,15,70,50,30,85
60,50,40,60,50,50,50,70,50,50
40,70,70,97,85,60,70,60,30,85
30,97,85,97,97,0,97,97,15,97
85,0,30,50,50,50,30,50,50,50
50,50,50,60,30,50,50,97,40,50
50,97,97,97,97,70,70,85,85,40
15,97,97,90,40,30,60,30,15,85
60,50,50,40,70,50,50,60,50,85
99,99,99,99,99,99,99,99,99,99
99,99,99,99,99,99,99,99,99,99
60,60,40,70,40,60,50,60,50,50
70,97,99,97,97,40,99,97,60,1
50,97,0,70,60,70,70,60,60,85
85,85,50,85,60,70,50,60,60,50
99,99,99,99,99,99,99,99,99,99
50,85,60,97,97,50,50,50,50,97
15,60,30,70,40,70,60,15,30,70
60,40,40,60,50,60,40,30,40,60
40,50,50,85,50,50,40,40,0,50
99,50,40,50,50,50,50,30,50,50
50,70,70,60,50,60,60,50,60,60
70,50,50,70,70,70,30,30,50,70
50,50,50,85,85,50,50,85,40,85
60,85,40,85,40,70,60,40,70,97
99,50,50,60,40,60,40,85,40,70
60,60,60,85,85,60,50,70,70,70
99,0,40,40,10,50,30,50,50,50
99,99,99,99,99,99,99,99,99,99
50,60,85,60,40,60,50,85,70,85
50,97,50,60,50,50,50,50,50,97
60,50,60,97,85,70,30,40,50,97
70,70,70,85,40,40,60,60,60,99
85,50,50,70,60,85,60,40,40,97
70,85,60,85,60,85,60,60,69,70
70,50,40,70,30,97,70,50,70,50
50,85,97,85,70,40,60,0,70,50
70,70,50,85,60,85,30,30,85,50
50,75,60,70,70,40,50,40,50,75
75,99,99,50,75,99,99,98,99,0
60,50,50,50,30,70,97,50,40,50
15,40,50,60,50,30,70,50,15,60
50,40,30,50,60,70,30,40,50,60
40,40,0,97,30,70,50,85,70,85
50,50,15,50,45,75,50,35,50,70
70,50,99,50,97,70,99,70,85,97
15,97,60,97,70,40,40,50,30,50
60,0,40,85,60,97,40,60,60,60
85,50,30,97,50,85,30,50,50,97
50,0,15,85,40,99,40,85,30,70
0,97,97,85,0,0,85,50,40,97
97,97,70,97,60,85,85,85,85,97
50,50,50,97,70,50,50,15,50,70
97,30,60,97,97,99,99,30,50,85
50,50,0,85,50,50,50,0,0,50
99,30,70,70,85,85,60,50,60,60
40,70,60,70,50,30,85,60,30,70
60,70,70,70,70,70,60,70,60,50
0,97,85,97,50,15,85,50,0,85
85,15,50,60,85,40,50,60,70,97
40,0,30,30,15,97,0,40,85,40
50,50,50,60,50,85,50,30,50,70
97,97,97,97,97,70,50,50,97,97
98,60,85,97,85,60,60,85,40,85
85,50,60,97,70,85,60,97,40,85
50,50,30,97,97,0,97,97,50,97
97,60,60,97,97,80,80,97,97,97
30,85,85,97,40,70,70,60,50,50
70,50,85,70,70,30,97,70,60,85
50,50,70,60,50,15,70,70,50,97
60,60,60,85,50,70,50,40,50,70
85,50,98,97,70,70,70,97,60,97
50,97,80,97,80,20,80,70,70,85
99,99,99,99,99,99,99,99,99,99
98,98,98,98,98,60,98,30,98,97
0,97,85,97,70,0,85,85,60,97
85,50,70,97,97,0,0,70,15,97
50,75,75,97,97,0,95,50,50,97
50,50,50,97,50,0,50,50,50,97
97,70,97,60,60,50,50,97,60,97
70,50,70,70,35,40,85,95,70,97
60,50,50,70,60,50,50,60,40,60
98,50,80,80,65,50,70,70,50,97
97,50,97,97,40,50,50,97,70,97
85,60,50,97,85,50,70,50,50,97
50,50,50,70,70,30,85,70,50,85
60,50,50,70,50,40,70,70,60,50
60,50,60,85,70,60,70,60,70,60
85,40,97,85,70,30,85,70,70,50
85,0,85,97,97,30,97,85,85,97
85,85,85,85,85,40,50,85,85,85
97,0,97,97,97,85,97,97,0,97
98,50,98,97,97,98,98,50,70,97
50,97,70,97,97,60,60,97,50,97
85,70,70,70,70,85,70,70,85,97
60,15,15,97,60,50,70,70,50,97
85,40,0,70,60,60,60,30,40,85
65,50,60,75,75,60,65,65,70,85
85,70,85,97,70,60,60,70,40,97
97,50,70,85,0,85,97,97,97,70
95,85,40,97,95,70,60,80,70,85
97,0,50,97,70,70,85,85,70,10
60,97,70,85,97,85,85,85,60,97
97,60,97,97,97,60,97,97,97,97
70,50,60,97,60,50,70,85,60,85
50,50,75,50,50,0,50,85,60,85
97,97,97,97,70,50,50,85,70,97
99,99,99,99,99,99,99,99,99,99
50,50,50,97,50,0,50,60,40,97
70,0,80,97,97,20,70,75,0,97
85,50,40,97,97,15,85,85,85,97
70,50,50,85,85,85,70,60,85,97
50,70,60,97,60,40,70,60,60,85
50,85,98,97,60,99,50,40,50,97
60,50,60,70,60,60,50,60,70,97
98,30,60,85,40,70,30,40,60,60
50,50,40,50,40,60,30,40,40,50
97,60,97,97,70,97,40,50,30,60
97,60,70,70,60,50,60,60,40,85
30,85,70,97,85,15,98,85,50,97
85,30,60,70,70,40,40,70,70,97
50,97,70,70,85,60,70,50,50,97
50,70,50,97,85,85,70,70,85,97
60,50,85,70,60,60,60,50,60,50
60,50,50,70,60,60,50,50,60,97
30,50,40,50,40,50,50,70,40,50
85,0,50,97,60,99,99,60,70,70
85,97,70,97,40,97,97,85,60,97
50,40,50,60,60,50,60,50,50,0
70,50,50,97,50,0,97,97,97,97
40,50,50,97,30,60,50,60,60,70
97,50,50,97,70,98,98,50,50,70
30,50,50,50,50,30,30,30,30,50
15,50,30,50,50,40,40,30,50,50
99,98,99,85,98,99,99,98,98,85
15,50,50,50,40,40,60,40,30,50
50,50,50,50,50,50,50,50,50,50
50,50,60,60,60,70,60,60,50,70
50,50,50,50,15,60,50,50,50,70
0,50,85,50,50,15,85,60,30,85
15,85,85,70,50,30,70,70,85,50
50,85,60,85,70,85,70,70,70,70
60,50,60,50,50,50,50,40,40,50
40,50,50,60,50,50,50,40,50,50
50,50,50,50,50,50,60,50,50,70
0,50,50,70,40,0,97,97,0,50
99,15,85,85,70,85,30,85,30,70
97,97,40,97,85,30,97,50,40,85
50,30,50,85,98,45,50,25,40,85
99,99,99,99,99,99,99,99,99,99
50,70,85,97,85,97,0,0,50,85
60,70,50,50,75,70,60,66,15,50
0,50,50,97,50,50,50,60,70,50
50,60,40,60,50,50,50,60,60,70
50,40,40,60,50,60,40,50,40,50
50,50,85,85,70,85,50,60,40,50
50,70,50,97,70,50,50,97,60,50
0,85,50,50,60,30,85,97,50,60
70,50,50,70,50,50,50,50,50,85
70,97,50,50,50,50,50,50,50,97
15,97,97,70,40,40,97,60,30,85
50,50,85,70,60,40,60,60,15,85
60,85,85,85,70,40,70,70,60,85
0,85,97,97,97,0,97,85,0,97
50,97,85,97,60,97,70,97,70,70
50,85,70,70,70,30,70,60,15,50
15,85,70,60,50,30,85,70,30,40
60,40,50,98,98,60,60,50,50,97
30,70,70,50,50,40,85,50,30,85
0,85,50,85,30,15,70,30,15,40
85,60,97,97,85,85,85,85,70,85
99,40,40,60,60,50,99,0,40,70
15,85,40,85,50,15,60,60,0,85
60,70,85,85,60,40,85,70,40,85
50,70,70,70,50,70,50,70,70,97
60,50,50,40,50,50,40,50,40,50
60,50,70,60,60,30,60,70,85,97
15,0,50,60,85,50,50,70,60,70
70,50,50,85,85,70,60,70,70,97
5,60,40,50,15,50,50,50,50,40
70,30,40,60,50,80,30,70,40,85
50,60,50,85,60,50,50,85,40,50
50,30,60,97,60,60,60,85,50,50
60,50,60,70,30,70,60,30,60,99
50,70,85,97,70,50,50,85,50,70
30,50,50,40,40,60,60,30,30,40
70,0,0,50,50,50,50,40,70,50
40,70,97,70,15,70,85,60,0,40
50,0,50,50,30,15,30,30,0,50
70,50,50,60,50,70,50,30,60,60
85,0,50,85,50,85,0,50,85,60
98,98,98,85,50,97,0,0,97,30
99,98,98,98,98,98,98,98,98,0
50,40,85,70,50,70,60,85,85,50
99,50,15,97,97,99,99,40,99,97
99,99,99,99,99,99,99,99,99,99
85,0,70,70,60,85,15,70,60,70
99,99,99,99,99,99,99,99,99,99
70,0,50,97,97,50,50,50,50,50
40,97,30,50,30,60,70,40,50,50
75,50,50,65,40,95,20,30,65,70
99,99,99,99,99,99,99,99,99,99
85,0,70,60,60,70,85,70,85,97
50,0,15,70,15,15,15,70,50,97
98,30,98,50,50,30,50,85,50,70
97,0,60,85,85,97,98,60,70,97
70,50,98,50,50,50,50,50,50,50
50,50,50,50,98,50,50,50,50,85
99,99,99,99,99,99,99,99,99,99
85,60,40,97,85,85,15,30,60,50
50,15,30,60,40,60,15,40,60,50
99,85,85,50,30,99,99,50,50,60
40,97,60,97,50,50,50,50,50,97
60,50,60,97,70,40,50,50,40,50
30,40,30,40,15,50,50,60,40,70
50,85,97,97,50,85,50,50,85,85
70,30,60,70,60,50,50,70,60,85
70,70,50,70,60,70,60,70,60,85
97,15,0,97,60,97,0,30,40,50
70,50,15,85,40,97,15,50,50,70
50,60,60,85,70,70,70,85,70,85
95,50,50,97,50,80,50,50,50,85
97,70,70,97,70,0,70,97,50,97
60,50,50,60,50,70,70,85,60,85
40,40,40,40,40,60,40,15,50,30
85,60,70,85,70,85,50,85,50,60
30,40,40,40,40,40,40,40,30,50
99,99,99,99,99,99,99,99,99,99
15,70,40,85,85,40,30,40,60,85
0,50,70,70,70,40,85,70,70,97
40,70,70,85,70,30,70,70,40,85
70,0,97,97,60,85,15,30,30,97
40,50,50,50,50,50,50,50,40,50
70,70,97,70,60,60,70,70,50,85
70,50,60,85,50,70,70,60,40,85
85,70,50,85,50,85,85,85,60,85
99,99,99,99,99,99,99,99,99,99
70,85,50,60,70,50,50,50,0,97
0,50,50,97,70,50,50,85,30,97
50,85,70,70,50,40,50,50,50,85
98,97,80,90,60,85,80,80,70,97
50,70,50,50,50,50,0,50,40,97
50,70,60,70,85,30,70,85,70,70
50,85,97,97,70,97,85,97,85,97
50,85,50,97,60,50,50,60,60,97
85,50,30,97,70,70,50,97,70,97
60,0,60,60,0,70,60,50,50,0
15,60,70,60,60,50,30,30,30,50
0,70,15,60,50,30,50,60,60,85
40,85,80,80,70,60,97,70,45,85
50,50,60,40,30,50,50,60,30,30
0,70,60,40,60,60,40,40,30,50
50,50,69,50,50,60,50,0,50,50
70,30,30,85,40,85,0,30,70,85
50,50,50,50,40,65,40,50,50,50
99,99,99,99,99,99,99,99,99,99
50,98,70,98,50,40,60,50,50,70
50,97,85,50,50,30,70,85,60,97
99,50,85,60,98,50,50,60,98,50
50,15,30,60,40,70,40,15,60,60
98,98,98,98,98,98,98,98,98,50
60,50,85,60,50,60,60,50,60,85
40,50,0,50,50,15,70,50,15,50
50,60,60,50,50,50,50,60,50,50
50,50,60,85,70,30,50,70,50,97
99,40,30,70,60,85,0,30,98,50
85,40,85,85,60,85,30,70,85,70
40,60,85,85,85,40,85,85,40,70
40,70,40,60,50,30,30,50,50,40
30,50,60,98,40,70,40,30,85,50
15,85,70,85,60,40,85,70,70,70
50,60,85,50,15,50,50,50,50,60
60,97,50,30,0,40,40,50,60,70
50,60,50,50,50,50,50,50,60,50
50,50,50,50,50,50,30,30,50,85
70,85,30,70,85,40,85,60,60,60
99,0,99,97,50,99,99,70,97,50
40,85,85,40,40,40,70,50,60,97
99,40,15,97,60,50,0,30,0,85
15,85,50,70,40,40,85,70,30,97
50,50,50,60,60,50,50,60,50,50
98,60,98,97,70,85,98,99,97,97
50,50,50,50,60,30,30,60,50,50
40,60,50,70,50,40,70,50,70,85
50,50,50,50,50,40,50,70,50,97
99,85,70,97,0,15,70,85,60,85
60,70,60,70,50,50,60,70,85,85
0,70,40,60,70,15,85,70,40,85
70,50,60,70,70,50,50,60,40,85
50,85,85,89,85,85,70,50,51,97
70,50,85,85,70,60,50,70,85,70
70,70,70,0,70,0,60,50,40,70
70,50,70,97,50,0,50,97,97,97
97,0,99,97,97,85,85,97,60,97
50,0,85,85,70,70,60,5,85,85
40,50,85,97,50,50,50,60,50,97
99,0,50,50,50,99,99,25,50,75
50,60,60,85,70,70,60,80,65,85
60,60,60,85,60,60,40,50,50,85
35,90,50,97,45,40,50,40,35,97
60,50,70,70,70,60,60,70,70,70
50,50,50,97,85,60,50,50,50,97
50,50,97,97,97,0,0,70,50,97
40,0,70,60,50,60,50,60,30,55
50,85,50,97,97,30,97,50,60,60
99,99,99,99,99,99,99,99,99,99
50,50,50,50,50,0,0,85,40,50
60,40,30,60,60,15,0,70,30,97
97,0,85,97,97,0,97,80,85,97
85,0,0,85,85,0,99,85,85,97
60,70,50,85,60,50,60,70,50,97
85,97,85,97,85,97,70,97,85,85
70,40,50,97,70,60,40,60,60,97
99,0,60,97,97,85,30,70,97,97
99,0,0,97,70,0,97,50,70,50
50,97,97,97,97,0,85,97,50,85
99,0,97,97,97,0,97,50,50,97
97,97,0,97,97,50,0,97,97,97
40,30,50,85,85,40,30,50,70,90
97,30,40,85,85,50,0,50,50,50
70,0,85,60,97,70,70,50,85,97
85,85,0,97,97,0,97,40,8,97
85,70,97,97,97,85,85,85,85,97
60,70,70,70,70,50,70,85,40,50
60,50,50,15,70,99,99,60,85,85
85,40,15,85,70,60,85,70,30,97
50,0,40,70,60,85,60,30,50,97
85,70,85,97,85,15,70,97,70,99
99,50,50,70,70,50,70,70,50,85
99,99,99,99,99,99,99,99,99,99
85,0,60,97,60,70,85,97,60,70
70,60,70,85,60,70,60,70,85,97
60,60,70,97,70,70,50,85,70,97
60,50,50,85,70,60,50,70,60,70
50,40,99,97,70,60,50,50,70,97
85,50,50,85,70,60,60,70,70,97
97,15,70,97,85,70,50,85,85,85
99,99,99,99,99,99,99,99,99,99
85,50,70,85,60,15,85,85,70,97
50,60,70,60,40,50,60,30,60,60
97,50,30,97,85,40,40,85,97,97
40,50,30,50,40,70,30,30,50,50
50,50,40,50,40,85,15,40,70,85
50,50,50,0,50,50,50,60,70,85
40,15,50,62,40,98,50,50,60,30
85,50,70,50,40,50,50,50,60,60
60,50,70,60,50,85,50,60,85,50
40,85,97,70,60,40,60,50,15,70
97,97,70,97,97,97,97,70,85,97
98,85,60,60,40,70,50,60,60,40
30,0,50,60,40,60,60,40,60,15
50,50,40,50,40,50,40,60,50,40
50,60,50,60,50,60,50,30,60,85
50,80,80,80,50,40,40,75,50,50
70,85,60,85,70,50,60,70,60,0
70,50,40,60,70,70,15,15,70,85
15,70,40,60,50,50,50,40,40,50
20,90,90,95,60,20,90,60,40,85
60,97,70,60,40,99,50,60,70,85
50,60,50,50,30,50,50,60,50,50
60,60,50,70,40,60,50,60,30,40
15,85,60,70,70,30,97,70,30,85
30,70,60,60,40,40,70,60,30,70
60,60,60,70,30,85,40,60,40,60
50,60,30,70,97,50,70,98,30,50
40,50,50,50,50,50,50,40,50,60
97,0,99,85,50,50,99,40,30,50
50,0,97,0,97,50,50,97,97,0
40,85,70,40,0,75,60,50,85,85
30,97,60,85,50,50,50,40,40,50
15,60,70,60,30,40,85,50,15,70
99,99,99,99,99,99,99,99,99,99
50,50,97,50,70,15,85,60,50,70
60,60,15,40,15,80,60,40,20,40
50,98,50,50,98,30,60,70,60,50
50,70,97,98,98,98,70,98,98,50
97,30,15,98,0,97,0,0,50,97
85,60,60,97,70,70,70,50,70,80
85,40,60,60,30,85,60,50,70,50
0,0,50,60,50,50,50,85,50,50
50,50,40,50,40,50,50,30,50,60
60,50,50,70,40,50,50,40,50,70
50,15,70,70,60,85,60,50,85,50
50,15,50,60,60,40,50,50,40,50
0,50,30,85,50,0,97,60,50,85
85,85,0,70,15,85,0,30,97,70
50,50,50,50,50,50,50,50,50,50
70,85,60,85,85,85,85,15,85,85
99,15,0,70,15,50,0,0,70,50
40,50,40,50,50,30,50,70,15,50
50,97,50,70,30,50,30,50,50,85
50,70,50,50,40,50,60,60,50,50
85,40,85,60,40,60,50,50,50,85
0,97,15,70,50,50,50,30,70,97
15,50,60,50,40,30,70,40,70,40
70,50,50,50,30,30,30,30,60,50
30,70,30,85,40,50,50,50,40,60
50,70,50,85,70,60,60,40,60,70
40,30,40,60,40,40,30,30,30,60
15,70,85,60,50,40,70,85,40,70
50,50,40,60,50,50,40,40,30,40
70,50,50,70,70,50,50,70,70,50
50,50,50,50,50,60,50,50,50,85
70,70,70,85,70,70,85,97,70,97
50,40,30,70,50,50,50,30,70,85
50,85,60,70,60,40,60,70,60,50
99,99,99,99,99,99,99,99,99,99
50,30,70,70,70,40,40,40,60,85
70,85,60,70,50,70,70,85,50,97
99,50,99,50,97,50,99,99,70,97
99,99,99,99,99,99,99,99,99,99
50,70,40,85,60,50,50,50,30,85
80,85,70,97,70,85,50,70,50,97
85,85,97,50,50,50,70,70,85,85
60,85,85,97,70,50,70,70,15,97
50,97,99,50,0,50,50,97,50,70
60,0,50,70,50,40,50,70,60,97
70,50,40,70,70,50,50,50,70,50
70,50,50,70,0,50,50,85,50,70
85,70,70,85,70,70,50,85,70,85
99,99,0,99,99,99,70,70,80,70
85,50,50,0,60,40,97,85,97,97
50,50,60,70,60,60,60,85,60,97
70,60,30,60,60,60,60,70,60,70
50,60,50,70,60,50,40,60,40,70
85,70,70,85,70,60,70,70,70,85
50,85,97,85,85,30,85,85,70,97
0,80,80,97,60,0,70,85,15,95
99,0,99,97,85,99,85,0,70,97
70,70,85,60,40,30,70,30,60,85
97,97,90,97,85,15,90,85,50,97
60,60,97,85,85,40,70,70,60,97
98,50,50,85,50,40,40,50,40,50
99,60,97,85,50,99,50,70,50,97
50,70,75,80,80,35,70,40,10,95
40,50,40,50,50,60,60,60,40,50
99,99,99,99,99,99,99,99,99,99
50,50,50,97,50,50,40,50,50,85
15,65,60,65,40,40,70,55,45,45
99,99,99,99,99,99,99,99,99,99
97,50,97,97,50,85,85,15,85,85
40,50,15,60,40,60,60,50,70,50
40,50,40,50,50,50,40,30,40,40
98,85,60,60,60,60,50,97,40,70
99,99,99,99,99,99,99,99,99,99
97,60,60,85,60,60,60,60,85,97
98,50,0,97,50,0,50,60,40,97
99,99,99,99,99,99,99,99,99,99
70,15,70,70,85,70,70,70,40,1
50,50,70,70,50,50,60,70,40,97
97,30,15,97,60,70,98,97,50,97
97,99,99,97,85,97,99,97,85,97
50,70,85,70,50,50,50,60,50,85
70,98,40,85,60,60,50,85,70,97
85,85,85,85,70,70,70,60,70,85
97,70,99,97,15,85,40,70,98,97
85,50,60,60,70,60,60,85,40,97
85,70,70,85,70,50,60,70,50,97
60,60,50,70,98,50,40,50,30,60
40,50,60,70,70,50,50,60,15,97
50,50,40,85,40,40,40,50,40,85
15,70,60,60,40,40,70,60,85,85
98,97,0,97,97,98,98,98,98,97
85,50,50,50,50,50,97,97,50,97
85,85,97,97,70,85,85,60,97,97
97,0,40,0,97,40,85,97,50,97
50,50,50,70,50,70,85,60,40,97
85,97,98,97,97,97,85,97,85,97
50,98,98,50,40,98,99,40,40,97
97,85,97,97,50,70,50,97,70,97
99,50,99,97,98,99,99,80,98,97
70,50,60,85,60,50,50,60,60,97
70,0,60,60,70,70,60,60,85,85
99,99,99,99,99,99,99,99,99,99
99,70,99,98,60,85,98,70,85,85
50,70,60,97,85,40,50,85,85,97
50,50,50,50,50,50,50,97,50,50
70,50,50,70,60,40,30,50,60,85
98,50,50,97,60,60,50,50,97,97
50,40,50,97,50,50,50,97,85,85
50,0,60,97,85,97,60,85,85,99
97,50,60,97,70,60,70,97,70,97
60,85,70,70,50,70,70,70,60,85
98,97,99,97,97,70,50,97,15,75
50,97,50,85,40,0,85,0,0,85
99,99,99,99,99,99,99,99,99,99
50,50,50,50,30,85,15,0,70,50
50,50,50,60,50,70,40,75,85,70
50,30,0,70,30,85,15,0,60,50
40,85,85,75,75,75,80,80,65,80
70,40,15,50,15,85,30,0,50,50
85,0,70,70,30,85,60,30,60,85
70,50,50,50,50,60,30,60,50,50
50,97,70,85,30,70,70,50,60,70
40,50,85,90,40,90,40,30,85,40
60,50,50,70,60,70,60,30,70,70
70,65,7,80,60,60,50,6,10,80
