"id","country","age","gender","ses","religion","married","education","IGF01","IGF02","IGF03","IGF04","IGI01","IGI02","IGI03","IGI04","OGF01","OGF02","OGF03","OGF04","OGI01","OGI02","OGI03","OGI04","leadership01","leadership02","leadership03","leadership04","leadership05","leadership06","empathic_concern_01","empathic_concern_02","empathic_concern_03","perspective_taking_01","perspective_taking_02","perspective_taking_03","perspective_taking_04","history_discrimination","fight_outgroup","og_host_01","og_host_02","og_coop_01","og_coop_02","NegativeToPositive","HostileToFriendly","SuspiciousToTrusting","ContemptToRespect","ThreatenedToRelaxed","IGFusion","IGIdentification","OGFusion","OGIdentification"
"GMB11","Gambia",27,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,6,6,7,7,7,7,1,1,1,1,1,1,1,1,7,7,7,6,6,6,6,7,5,6,6,6,6,3,3,3,3,5,1,5,5,4,4,4,6.5,6.33333333333333,1,1
"GMB12","Gambia",18,"Female",,"Muslim: Sunni","Other","High school or less",7,7,3,6,7,6,6,7,2,1,1,1,2,1,4,1,6,6,5,5,2,2,7,7,7,1,6,6,5,6,5,5,2,6,1,3,4,4,7,7,5.75,5.33333333333333,1.25,1
"GMB13","Gambia",19,"Female","Middle","Muslim: Sunni","Unmarried","High school or less",2,6,6,7,6,7,7,2,2,2,2,6,6,2,2,2,6,7,6,,7,2,7,7,7,7,7,7,1,6,6,1,1,2,1,7,7,6,7,7,5.25,6.33333333333333,3,3.33333333333333
"GMB14","Gambia",24,"Male","Upper middle","Muslim: Sunni","Unmarried","Bachelors",7,7,6,7,7,7,7,7,4,1,1,1,1,1,1,1,7,7,6,2,3,4,7,1,7,7,6,7,7,1,5,2,3,7,1,4,4,4,6,7,6.75,6.66666666666667,1.75,1
"GMB15","Gambia",23,"Male","Lower middle","Muslim: Sunni","Unmarried","Certificate",4,6,6,4,4,5,6,5,2,1,1,1,4,2,2,3,7,6,7,2,4,2,2,6,7,7,6,6,5,4,4,2,1,6,2,2,7,4,7,5,5,5.33333333333333,1.25,1
"GMB16","Gambia",26,"Female","Middle","Christian: Other","Unmarried","Certificate",7,6,4,4,6,6,6,6,2,2,2,1,1,1,1,1,1,2,6,6,6,6,5,6,6,5,5,5,5,4,4,4,4,4,2,4,4,4,4,5,5.25,4.66666666666667,1.75,1.66666666666667
"GMB17","Gambia",63,"Male","Middle","Muslim: Sunni","Married","High school or less",7,7,6,6,7,7,7,7,1,1,1,1,1,1,1,1,5,5,5,4,5,4,5,6,5,6,6,6,6,3,4,4,4,4,1,5,5,4,4,4,6.5,6.33333333333333,1,1
"GMB18","Gambia",27,"Male","Middle","Muslim: Sunni","Unmarried","Certificate",7,6,5,4,6,7,7,7,4,1,3,2,1,2,2,2,7,7,6,4,5,4,7,6,5,5,5,6,5,4,5,4,4,2,2,4,5,4,6,4,5.5,5,2.5,2
"GMB19","Gambia",31,"Male","Upper middle","Muslim: Sunni","Married","Certificate",7,5,4,1,7,7,7,7,1,1,2,2,1,1,1,1,7,7,6,5,5,5,6,6,5,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,4.25,3.33333333333333,1.5,1.66666666666667
"GMB20","Gambia",59,"Male","Middle","Muslim: Sunni","Married","High school or less",7,7,5,5,6,6,6,6,2,2,2,2,3,2,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,5,4,4,4,4,4,4,6,5.66666666666667,2,2
"GMB21","Gambia",49,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,7,7,6,6,6,6,1,2,2,2,2,2,2,2,7,7,7,6,6,6,7,6,6,6,6,6,6,6,4,4,4,7,1,2,6,6,6,5,7,7,1.75,2
"GMB22","Gambia",26,"Female","Middle","Muslim: Sunni","Unmarried","Diploma",7,7,5,5,6,6,6,6,2,2,2,2,2,2,2,2,7,7,7,5,6,5,6,6,6,6,6,7,7,3,4,3,3,6,2,5,5,5,5,4,6,5.66666666666667,2,2
"GMB23","Gambia",38,"Female","Upper middle","Muslim: Sunni","Married","Diploma",7,7,7,6,7,7,7,7,3,3,1,1,1,1,1,1,7,7,6,5,5,6,7,7,7,7,7,7,7,5,4,2,4,5,2,7,7,6,6,6,6.75,6.66666666666667,2,1.66666666666667
"GMB24","Gambia",58,"Male","Middle","Muslim: Sunni","Married","High school or less",7,7,7,6,7,7,7,7,1,1,1,1,1,1,1,1,6,5,5,4,5,4,7,7,6,7,7,7,7,3,4,3,2,5,1,5,5,4,5,4,6.75,6.66666666666667,1,1
"GMB25","Gambia",36,"Female","Middle","Muslim: Sunni","Married","High school or less",7,7,6,6,6,6,6,6,1,1,1,1,1,1,1,1,7,7,6,5,5,5,7,7,7,7,7,6,6,3,4,3,3,5,1,5,5,5,5,5,6.5,6.33333333333333,1,1
"GMB26","Gambia",,"Male","Middle","Muslim: Sunni","Married","High school or less",3,7,6,5,4,5,6,6,3,1,2,4,4,3,3,3,2,6,2,1,5,7,2,5,2,3,3,2,1,2,3,3,4,2,3,4,5,3,7,5,5.25,6,2.5,2.33333333333333
"GMB27","Gambia",26,"Female","Upper","Muslim: Sunni","Married","High school or less",7,7,7,7,6,7,7,7,1,1,6,2,1,2,2,1,7,7,7,7,6,2,7,4,6,7,7,7,5,2,6,6,6,2,2,5,6,3,5,7,7,7,2.5,3
"GMB28","Gambia",21,"Male","Middle","Muslim: Sunni","Other","High school or less",6,7,3,7,7,6,7,6,2,1,1,1,1,1,4,1,4,5,7,1,1,1,7,7,7,2,7,6,4,6,5,5,2,6,1,4,4,4,7,7,5.75,5.66666666666667,1.25,1
"GMB29","Gambia",67,"Male","Middle","Muslim: Sunni","Married","Other/unknown",7,7,6,6,6,7,7,7,1,1,1,1,1,1,1,1,6,6,6,5,6,5,6,5,5,7,7,7,7,5,4,4,4,5,1,5,5,5,7,4,6.5,6.33333333333333,1,1
"GMB30","Gambia",56,"Male","Middle","Muslim: Sunni","Married","Certificate",6,6,5,4,6,6,6,6,2,2,2,2,2,2,2,2,7,7,7,5,3,3,5,3,5,6,6,6,6,3,4,3,3,5,2,5,5,5,5,4,5.25,5,2,2
"GMB31","Gambia",39,"Female","Middle","Muslim: Sunni","Married","High school or less",7,7,5,5,6,6,6,6,2,2,2,2,2,2,2,2,7,7,7,6,6,6,7,6,6,5,5,5,5,3,4,3,3,6,2,5,5,4,5,4,6,5.66666666666667,2,2
"GMB32","Gambia",61,"Male","Upper middle","Muslim: Sunni","Married","High school or less",7,7,6,6,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,5,4,5,6,6,6,6,6,6,6,5,4,2,2,5,3,2,6,6,6,4,6.5,6.33333333333333,2,2
"GMB33","Gambia",54,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,6,6,7,7,7,7,2,2,2,2,2,2,2,2,7,7,7,5,6,5,6,6,5,5,5,5,5,5,3,3,3,6,2,2,6,6,6,5,6.5,6.33333333333333,2,2
"GMB34","Gambia",31,"Male","Middle","Muslim: Sunni","Married","Bachelors",7,7,5,5,7,7,7,7,1,1,1,1,1,1,1,1,6,6,6,6,6,6,5,5,6,6,6,6,6,4,4,3,3,3,2,5,5,5,5,4,6,5.66666666666667,1,1
"GMB35","Gambia",31,"Male","Lower middle","Muslim: Sunni","Married","High school or less",7,7,6,5,7,7,7,7,1,1,1,1,2,2,2,2,7,7,6,6,6,6,7,7,7,5,5,5,5,4,4,4,4,5,2,4,4,4,4,4,6.25,6,1,1
"GMB36","Gambia",34,"Female","Middle","Muslim: Sunni","Married","Diploma",7,7,6,5,6,6,6,6,4,4,4,4,3,4,3,3,7,7,5,3,4,3,6,5,5,5,5,5,5,4,4,4,4,5,3,5,6,4,5,6,6.25,6,4,4
"GMB37","Gambia",28,"Male","Middle","Christian: Catholic","Unmarried","Diploma",7,7,6,6,7,7,7,7,2,2,2,2,2,2,2,2,6,6,6,6,6,6,4,5,5,5,5,5,5,4,4,4,4,4,3,5,5,4,5,4,6.5,6.33333333333333,2,2
"GMB38","Gambia",28,"Male","Lower middle","Muslim: Sunni","Unmarried","Certificate",6,6,4,4,6,6,6,6,2,2,2,2,3,2,2,2,5,5,5,4,4,4,6,6,5,7,7,7,7,6,4,4,4,6,2,2,6,6,6,4,5,4.66666666666667,2,2
"GMB39","Gambia",24,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",6,6,5,5,6,6,6,6,3,2,2,2,2,2,2,2,5,5,5,3,4,3,7,6,6,6,6,7,7,6,4,3,3,6,1,5,5,5,5,4,5.5,5.33333333333333,2.25,2
"GMB40","Gambia",26,"Male","Middle","Muslim: Sunni","Unmarried","Diploma",6,5,4,4,6,6,6,6,2,2,2,2,2,2,2,2,5,5,5,4,4,4,6,6,6,7,7,7,7,5,4,4,4,5,1,7,7,6,6,5,4.75,4.33333333333333,2,2
"GMB41","Gambia",28,"Male","Middle","Christian: Other","Unmarried","Diploma",6,5,4,4,6,6,6,6,2,2,2,2,3,3,2,2,5,5,5,4,4,4,6,6,5,6,6,5,5,4,3,4,4,5,3,5,5,5,5,4,4.75,4.33333333333333,2,2
"GMB42","Gambia",44,"Female","Middle","Christian: Catholic","Married","High school or less",7,7,5,5,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,3,5,3,6,5,6,6,6,6,6,3,4,4,4,2,1,5,5,5,5,4,6,5.66666666666667,1,1
"GMB43","Gambia",47,"Male","Upper middle","Muslim: Sunni","Married","Certificate",7,7,6,5,6,6,6,6,3,2,2,2,3,3,3,3,5,5,5,3,5,3,5,3,5,5,5,5,5,3,4,4,4,5,2,5,5,5,5,4,6.25,6,2.25,2
"GMB44","Gambia",20,"Female","Upper middle","Muslim: Sunni","Unmarried","High school or less",7,7,7,7,7,6,6,6,2,1,1,1,1,3,2,1,7,7,6,1,1,1,7,3,7,7,6,7,7,7,1,1,1,6,1,5,6,4,4,5,7,7,1.25,1
"GMB45","Gambia",25,"Male","Middle","Muslim: Sunni","Unmarried","Bachelors",7,7,1,7,7,6,7,7,1,1,1,1,1,1,1,1,7,1,1,7,7,7,7,7,7,6,6,6,5,1,4,1,2,5,1,3,4,2,5,5,5.5,5,1,1
"GMB46","Gambia",23,"Male","Middle","Muslim: Sunni","Unmarried","Other/unknown",7,7,4,4,6,6,6,5,1,1,1,,2,3,1,1,7,6,1,7,7,1,7,5,6,7,7,6,7,5,3,4,1,7,2,5,6,6,6,6,5.5,5,,
"GMB47","Gambia",28,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,7,4,1,7,4,7,2,7,6,7,7,6,2,4,2,2,2,2,2,6,5,6,6,7,7,1,1
"GMB48","Gambia",32,"Male","Upper middle","Muslim: Sunni","Unmarried","Bachelors",6,5,3,3,6,6,6,6,2,2,2,2,2,2,2,2,7,7,7,3,4,3,7,7,7,7,7,6,6,6,4,3,3,6,2,4,4,4,4,4,4.25,3.66666666666667,2,2
"GMB49","Gambia",33,"Male","Middle","Muslim: Sunni","Married","Bachelors",6,6,6,6,6,7,7,7,3,2,2,2,2,5,2,2,6,7,6,5,5,5,6,7,6,6,5,6,5,7,4,5,2,6,2,4,7,5,7,7,6,6,2.25,2
"GMB50","Gambia",32,"Male","Middle","Muslim: Sunni","Married","Bachelors",7,5,6,6,6,6,6,6,2,2,2,2,2,2,2,2,7,6,6,7,2,6,6,6,6,6,6,6,6,6,1,6,3,4,4,4,6,2,6,4,6,5.66666666666667,2,2
"GMB51","Gambia",40,"Male","Lower middle","Muslim: Sunni","Married","High school or less",7,7,5,7,7,7,7,7,7,1,1,6,2,6,1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,7,2,2,2,7,7,4,7,7,7,7,6.5,6.33333333333333,3.75,2.66666666666667
"GMB52","Gambia",,"Male","Lower middle","Muslim: Sunni","Married","Diploma",5,2,5,6,7,6,6,7,4,1,1,1,2,2,2,2,5,4,4,2,2,2,7,7,7,5,6,5,5,5,4,5,1,5,1,5,5,5,5,5,4.5,4.33333333333333,1.75,1
"GMB53","Gambia",28,"Male","Lower middle","Muslim: Sunni","Married","High school or less",7,6,5,6,6,6,7,7,6,2,2,5,2,4,5,2,6,6,6,6,7,7,6,7,5,6,5,6,4,6,5,5,2,7,2,5,6,5,5,5,6,5.66666666666667,3.75,3
"GMB54","Gambia",28,"Male","Lower middle","Muslim: Sunni","Married","High school or less",7,6,5,6,6,6,7,7,6,2,2,5,2,5,6,6,6,6,6,6,7,7,6,7,5,6,5,6,4,2,2,4,5,7,7,5,6,5,5,5,6,5.66666666666667,3.75,3
"GMB55","Gambia",34,"Male","Lower middle",,"Unmarried","High school or less",2,6,5,2,6,6,6,6,2,6,3,2,3,6,5,5,5,5,5,6,2,2,7,7,7,7,7,5,1,6,2,2,2,6,2,7,7,7,7,7,3.75,4.33333333333333,3.25,3.66666666666667
"GMB56","Gambia",22,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",7,5,2,7,6,5,6,7,6,1,1,2,1,2,1,1,7,7,6,6,2,4,7,4,5,6,7,7,7,4,4,2,4,5,3,2,5,2,6,7,5.25,4.66666666666667,2.5,1.33333333333333
"GMB57","Gambia",40,"Male","Upper","Muslim: Sunni","Married","Bachelors",7,6,6,1,7,7,6,7,2,1,1,1,2,1,1,1,7,6,7,3,7,2,7,6,4,1,6,2,6,1,1,1,4,1,1,4,5,4,5,4,5,4.33333333333333,1.25,1
"GMB58","Gambia",54,"Male","Upper middle","Muslim: Sunni","Married","Bachelors",7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,3,5,6,6,4,7,7,7,7,7,7,4,4,3,4,4,4,1,5,5,4,4,5,7,7,1,1
"GMB59","Gambia",53,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,5,7,7,7,7,7,1,1,1,1,1,1,2,2,7,6,6,7,6,6,7,5,7,5,5,3,6,6,3,3,3,6,1,5,6,3,5,5,6.5,6.33333333333333,1,1
"GMB60","Gambia",19,"Male","Middle","Christian: Protestant","Unmarried","High school or less",7,6,7,7,6,7,7,6,1,2,1,2,1,2,3,3,7,6,7,5,5,4,7,2,4,6,4,5,6,2,3,5,4,3,4,5,6,5,5,7,6.75,6.66666666666667,1.5,1.66666666666667
"GMB61","Gambia",33,"Female","Upper middle","Muslim: Sunni","Married","High school or less",7,7,7,7,6,5,6,4,1,1,1,1,1,1,1,1,7,6,4,6,6,7,7,2,7,5,6,6,5,1,7,7,7,2,6,1,2,1,4,1,7,7,1,1
"GMB62","Gambia",60,"Male","Upper","Muslim: Sunni","Married","High school or less",7,7,7,7,7,7,6,7,1,1,1,1,1,1,1,1,7,6,1,1,5,1,7,6,7,3,5,7,7,4,7,7,7,1,1,1,2,1,4,1,7,7,1,1
"GMB63","Gambia",38,"Female","Upper middle","Muslim: Sunni","Married","Bachelors",5,4,2,4,5,5,5,4,2,1,1,1,2,2,1,1,7,4,5,7,7,6,7,6,6,4,6,5,3,4,4,3,6,5,1,3,4,3,4,3,3.75,3.33333333333333,1.25,1
"GMB64","Gambia",57,"Male","Upper","Muslim: Sunni","Married","Other/unknown",7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,6,7,5,5,5,6,2,5,4,2,6,4,1,3,1,1,5,1,5,5,4,5,6,7,7,1,1
"GMB65","Gambia",47,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",7,7,7,7,6,7,7,7,1,1,1,1,2,1,1,1,6,6,7,2,7,2,7,7,6,7,6,7,7,7,2,2,1,6,1,4,5,6,7,7,7,7,1,1
"GMB66","Gambia",24,"Male","Lower middle","Muslim: Sunni","Unmarried","Certificate",7,7,6,4,4,7,6,6,4,1,1,1,4,2,2,2,7,6,4,7,6,4,2,6,7,6,6,6,6,6,1,2,2,4,2,5,7,4,7,4,6,5.66666666666667,1.75,1
"GMB67","Gambia",20,"Female","Upper middle","Christian: Catholic","Unmarried","High school or less",7,7,1,7,7,7,6,7,2,1,1,1,3,4,4,3,7,2,1,1,6,1,7,7,6,3,4,5,2,6,4,4,1,7,1,7,7,7,7,7,5.5,5,1.25,1
"GMB68","Gambia",47,"Male","Middle","Muslim: Sunni","Married","High school or less",7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,7,7,7,7,5,5,7,1,7,7,7,7,7,7,3,1,1,5,1,7,7,7,7,7,6.75,6.66666666666667,6,6
"GMB69","Gambia",49,"Female","Middle","Muslim: Sunni","Married","High school or less",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,7,1,7,7,7,7,7,6,4,5,4,6,1,7,6,5,7,7,6,6,6,6
"GMB70","Gambia",74,"Male","Lower middle","Muslim: Sunni","Married","Other/unknown",6,6,5,5,6,6,6,6,6,4,4,6,6,6,6,6,7,7,7,7,5,5,7,1,7,7,7,7,7,6,4,6,5,6,3,5,4,3,3,3,5.5,5.33333333333333,5,4.66666666666667
"GMB71","Gambia",29,"Male","Middle","Christian: Catholic","Unmarried","Bachelors",7,6,4,6,7,7,7,7,7,6,6,6,6,6,6,6,7,6,5,7,7,7,7,7,7,6,7,7,6,5,7,6,7,6,2,1,1,2,2,1,5.75,5.33333333333333,6.25,6
"GMB72","Gambia",40,"Male","Middle","Muslim: Sunni","Married","Bachelors",6,4,4,6,7,6,6,6,2,1,1,1,2,5,2,1,7,7,7,6,5,3,6,7,5,4,6,4,2,5,5,5,2,5,6,5,5,5,5,5,5,4.66666666666667,1.25,1
"GMB73","Gambia",52,"Male","Middle","Muslim: Sunni","Married","Bachelors",6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,7,7,7,7,5,5,7,1,7,7,7,7,7,6,6,6,6,6,1,2,6,6,6,6,6,6,5,5
"GMB74","Gambia",30,"Male","Middle","Muslim: Sunni","Married","Diploma",6,6,5,5,6,6,6,6,1,1,1,1,2,1,1,1,6,6,6,2,3,2,6,6,6,6,6,6,7,3,3,3,3,5,2,2,6,6,6,4,5.5,5.33333333333333,1,1
"GMB75","Gambia",26,"Female","Lower middle","Muslim: Sunni","Unmarried","High school or less",7,7,5,5,7,7,7,7,2,2,2,2,1,1,1,1,6,6,6,6,6,6,7,7,6,6,6,6,6,3,5,5,5,5,2,5,4,4,5,4,6,5.66666666666667,2,2
"GMB76","Gambia",32,"Male","Middle","Muslim: Sunni","Married","Other/unknown",6,5,5,4,6,6,6,6,2,2,2,2,,3,2,2,5,5,5,4,4,4,6,5,6,6,6,6,6,4,4,4,4,6,1,5,5,5,5,4,5,4.66666666666667,2,2
"GMB77","Gambia",27,"Male","Middle","Muslim: Sunni","Married","High school or less",6,6,5,5,6,6,6,6,2,2,2,2,3,3,3,3,6,6,6,5,5,5,6,6,5,5,5,6,6,3,4,3,3,5,3,4,5,5,5,4,5.5,5.33333333333333,2,2
"GMB78","Gambia",26,"Female","Middle","Christian: Catholic","Unmarried","High school or less",6,6,5,4,7,7,7,7,1,1,1,1,1,1,1,1,7,7,7,5,5,5,7,7,7,6,6,6,6,3,3,3,3,5,2,5,6,5,6,4,5.25,5,1,1
"GMB79","Gambia",39,"Male","Upper middle","Muslim: Sunni","Married","Bachelors",7,5,4,4,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,5,5,5,6,6,6,6,6,6,6,4,4,4,4,6,2,5,5,4,5,,5,4.33333333333333,2,2
"GMB80","Gambia",28,"Female","Middle","Muslim: Sunni","Married","High school or less",6,5,4,4,6,6,6,6,1,1,1,1,2,2,2,2,5,5,5,5,6,5,6,6,6,5,5,5,5,3,4,3,3,5,2,5,5,5,6,4,4.75,4.33333333333333,1,1
"GMB81","Gambia",47,"Male","Middle","Muslim: Sunni","Married","Certificate",6,5,4,4,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,4,5,4,7,7,5,5,5,5,5,3,3,3,3,6,2,5,5,5,6,5,4.75,4.33333333333333,2,2
"GMB82","Gambia",34,"Male","Upper middle","Christian: Other","Unmarried","Other/unknown",7,7,6,5,6,6,6,6,3,2,2,2,2,2,2,2,7,7,7,6,7,6,7,6,6,5,5,6,6,5,3,4,4,6,2,5,5,4,5,5,6.25,6,2.25,2
"GMB83","Gambia",21,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",7,6,6,7,5,5,7,7,6,6,5,5,6,5,5,6,7,7,6,4,4,4,6,6,4,7,7,6,4,7,2,2,2,6,1,7,7,6,7,7,6.5,6.33333333333333,5.5,5.33333333333333
"GMB84","Gambia",26,"Male","Middle","Muslim: Sunni","Unmarried","Certificate",7,5,5,5,6,6,6,6,1,1,1,1,2,2,1,1,6,6,6,3,3,3,6,7,6,6,7,7,7,5,4,4,4,6,3,4,4,4,4,4,5.5,5,1,1
"GMB85","Gambia",36,"Male","Middle","Muslim: Sunni","Married","High school or less",6,5,4,5,6,6,5,6,4,6,3,4,5,4,5,4,6,5,7,5,2,3,7,7,6,7,6,7,4,6,2,2,3,5,1,3,5,4,5,5,5,4.66666666666667,4.25,4.33333333333333
"GMB86","Gambia",42,"Female","Middle","Muslim: Sunni","Married","High school or less",7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,7,7,5,5,5,6,4,5,5,5,5,5,5,6,4,5,5,2,2,6,5,5,4,7,7,1,1
"GMB87","Gambia",34,"Male","Lower middle","Christian: Catholic","Unmarried","Bachelors",6,4,4,4,5,5,6,6,5,5,4,5,5,5,5,5,7,7,7,7,5,5,7,1,7,7,7,7,7,4,7,4,4,6,1,2,7,6,7,6,4.5,4,4.75,4.66666666666667
"GMB88","Gambia",41,"Male","Middle","Muslim: Sunni","Married","High school or less",6,6,6,5,6,6,6,4,5,5,4,6,4,4,4,4,7,7,7,7,6,6,7,1,7,7,7,7,7,6,6,6,6,6,1,7,6,6,6,6,5.75,5.66666666666667,5,5
"GMB89","Gambia",36,"Male","Middle","Muslim: Sunni","Married","Bachelors",7,6,6,6,6,7,7,7,1,2,2,2,2,1,1,1,6,7,6,2,6,2,7,7,5,5,6,6,5,4,4,1,1,7,,7,7,5,5,4,6.25,6,1.75,2
"GMB90","Gambia",44,"Male","Middle","Muslim: Sunni","Married","Bachelors",5,7,1,1,4,5,5,5,3,4,2,2,5,5,6,2,4,6,5,5,4,4,6,6,5,2,2,6,6,4,3,3,3,4,2,5,3,4,6,6,3.5,3,2.75,2.66666666666667
"GMB91","Gambia",29,"Male","Middle","Muslim: Other","Unmarried","Other/unknown",6,5,4,6,7,6,6,7,6,2,4,2,2,4,4,4,6,5,7,4,2,2,2,7,6,6,5,6,5,7,1,1,1,6,1,4,2,4,2,7,5.25,5,3.5,2.66666666666667
"GMB92","Gambia",30,"Female","Middle","Muslim: Sunni","Married","Diploma",6,7,6,7,6,7,6,6,6,7,5,4,5,4,4,4,7,7,5,5,7,4,6,1,6,5,5,6,6,7,1,4,5,6,1,5,7,7,7,7,6.5,6.66666666666667,5.5,5.33333333333333
"GMB93","Gambia",45,"Male","Middle","Muslim: Sunni","Married","High school or less",7,6,4,5,4,5,5,5,5,,1,5,4,4,4,4,1,6,7,1,7,4,7,2,7,7,6,6,6,6,1,2,1,7,1,7,7,6,7,7,5.5,5,,
"GMB94","Gambia",35,"Male","Middle","Muslim: Sunni","Married","High school or less",6,,7,2,6,6,7,4,2,6,4,6,4,6,6,6,6,7,7,6,5,2,7,2,6,6,7,7,7,6,7,7,6,6,6,3,7,7,7,7,,,4.5,5.33333333333333
"GMB95","Gambia",56,"Male","Middle","Muslim: Sunni","Married","High school or less",7,4,3,6,5,6,6,4,7,4,3,6,4,4,6,4,5,4,6,5,6,6,4,5,7,6,4,7,7,4,3,3,1,7,1,5,7,4,4,4,5,4.33333333333333,5,4.33333333333333
"GMB96","Gambia",60,"Male","Lower middle","Christian: Catholic","Married","High school or less",6,,6,6,5,5,6,5,3,4,6,3,5,5,5,5,7,6,6,6,7,1,6,1,7,7,7,7,7,6,1,1,1,5,1,1,1,1,4,1,,,4,4.33333333333333
"GMB97","Gambia",53,"Male","Lower middle","Muslim: Sunni","Married","High school or less",7,7,7,7,7,7,7,7,7,2,2,7,1,5,5,4,7,6,4,2,4,2,7,7,7,7,6,6,7,7,5,1,1,7,1,7,4,4,4,4,7,7,4.5,3.66666666666667
"GMB98","Gambia",24,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",5,6,6,2,7,7,6,6,2,2,2,,1,1,2,2,1,7,6,7,2,2,4,6,6,6,6,6,4,6,3,2,2,2,2,3,3,4,5,3,4.75,4.66666666666667,,
